laptop_id,name,external_link,price,price_tier,rating,ram_gb,storage_gb,weight,screen_size,cpu,gpu,gpu_vram_gb,cpu_score,gpu_score,ram_score,perf_score,performance_level,primary_usage,eco_class,estimated_consumption,price_inr
256,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itm1eb242c8ec463?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHEJWQIB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_257&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMGBH9JDPVGD8BH.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,5759.0,Mid,4.4,8,512.0,1.69,15.6,AMD Ryzen 5 Hexa Core,AMD Radeon AMD,,2,0,1,1.0,Low,Études,B,Medium,47990.0
257,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 KG, With MS Office)",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2629tu-thin-light-laptop/p/itm00019d89927f7?pid=COMGBH9JZ4ZFH9GH&lid=LSTCOMGBH9JZ4ZFH9GHN7FV3Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_258&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMGBH9JZ4ZFH9GH.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,5039.0,Entry,4.3,8,512.0,1.69,15.6,Intel Core i3 11th Gen,Intel Integrated UHD,,1,0,1,0.6000000000000001,Low,Études,B,Medium,41990.0
258,"Lenovo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Laptop  (15.6 inch, Arctic Grey, With MS Office)",https://www.flipkart.com/lenovo-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-laptop/p/itm7351c2bfbdf17?pid=COMGBG4ABK9BAGQY&lid=LSTCOMGBG4ABK9BAGQYN65FHO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_259&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMGBG4ABK9BAGQY.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,6720.0,Mid,,8,512.0,,15.6,Intel Core i5 11th Gen,Intel Integrated,,2,0,1,1.0,Low,Études,B,Medium,55999.0
259,"ASUS Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) GA401QH-HZ080TS Thin and Light Laptop  (14 inch, Moonlight White, 1.60 Kg, With MS Office)",https://www.flipkart.com/asus-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-10-home-4-graphics-ga401qh-hz080ts-thin-light-laptop/p/itm1aca09315ad33?pid=COMG9UMHQGTDTUQG&lid=LSTCOMG9UMHQGTDTUQGQYTXBC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_260&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMG9UMHQGTDTUQG.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,9599.0,High,4.4,16,512.0,1.6,14.0,AMD Ryzen 7 Octa Core,NVIDIA GeForce GTX 1650,4.0,3,2,2,2.4,High,Gaming,B,Medium,79990.0
260,"ASUS Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 10 Home/NVIDIA GeForce GTX 1650/144 HZ) GA401QH-HZ079TS Gaming Laptop  (14 inch, Eclipse Gray, 1.60 Kg, With MS Office)",https://www.flipkart.com/asus-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-10-home-nvidia-geforce-gtx-1650-144-hz-ga401qh-hz079ts-gaming-laptop/p/itm62c7c22a78621?pid=COMG9UMHUQPG2T2G&lid=LSTCOMG9UMHUQPG2T2GOR4CUL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_261&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMG9UMHUQPG2T2G.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,9599.0,High,4.5,16,512.0,1.6,14.0,AMD Ryzen 7 Octa Core,NVIDIA GeForce GTX 1650,,3,0,2,1.6,Medium,Développement,B,Medium,79990.0
261,"ASUS VivoBook Pro 14 OLED (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated Iris Xe) K3400PA-KM502WS Gaming Laptop  (14 inch, Cool Silver, 1.40 kg, With MS Office)",https://www.flipkart.com/asus-vivobook-pro-14-oled-2022-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-intel-integrated-iris-xe-k3400pa-km502ws-gaming-laptop/p/itmdfce3c3358558?pid=COMGB732SYZ7XSSA&lid=LSTCOMGB732SYZ7XSSAYFBORS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_262&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMGB732SYZ7XSSA.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,7919.0,High,4.2,16,512.0,1.4,14.0,Intel Core i5 11th Gen,Intel Integrated Iris Xe,,2,0,2,1.2000000000000002,Low,Développement,A,Low,65990.0
262,"ASUS ExpertBook Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Pro) P1545FA Business Laptop  (15.6 inch, Slate Grey, 1.80 kg)",https://www.flipkart.com/asus-expertbook-core-i3-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-pro-p1545fa-business-laptop/p/itma09652be5d20d?pid=COMGBE76FBDX75RH&lid=LSTCOMGBE76FBDX75RHRQSYMQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_263&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMGBE76FBDX75RH.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,4919.0,Entry,,8,1280.0,1.8,15.6,Intel Core i3 10th Gen,Intel Integrated HD,,1,0,1,0.6000000000000001,Low,Études,B,Medium,40990.0
263,"acer Swift X Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) SFX14-41G Thin and Light Laptop  (14 inch, Safari Gold, 1.39 kg, With MS Office)",https://www.flipkart.com/acer-swift-x-ryzen-7-octa-core-5800u-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-sfx14-41g-thin-light-laptop/p/itmc8260e9eda86d?pid=COMG6TP6WVPHVXJ9&lid=LSTCOMG6TP6WVPHVXJ9SWXADJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_11_264&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ee79af7b-2deb-4584-9f93-f6d7cb1c0d5a.COMG6TP6WVPHVXJ9.SEARCH&ssid=v3n95hoprtcgasqo1653220841933,11999.0,Premium,,16,1024.0,1.39,14.0,AMD Ryzen 7 Octa Core,NVIDIA GeForce RTX 3050 Ti,4.0,2,2,2,2.0,Medium,Gaming,B,Medium,99990.0
264,"acer Intel EVO Swift 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) SF514-55TA Thin and Light Laptop  (14 Inch, Mist Green, 1.05 Kg, With MS Office)",https://www.flipkart.com/acer-intel-evo-swift-5-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-sf514-55ta-thin-light-laptop/p/itm2615edee79ad5?pid=COMG8ZERNFVMXU8Z&lid=LSTCOMG8ZERNFVMXU8ZUHPCYV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_265&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG8ZERNFVMXU8Z.SEARCH&ssid=g099blgalzhp8cu81653220936530,8999.0,High,,8,512.0,1.05,14.0,Intel Core i5 11th Gen,Intel Integrated Intel Iris Xe Graphics,,2,0,1,1.0,Low,Études,A,Low,74990.0
265,"Lenovo IdeaPad 3 15IML05 Core i3 10th Gen - (8 GB/Windows 11 Home) IdeaPad 3 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)",https://www.flipkart.com/lenovo-ideapad-3-15iml05-core-i3-10th-gen-8-gb-windows-11-home-thin-light-laptop/p/itm3d60370e2b527?pid=COMGAPFFNUQGTR5Y&lid=LSTCOMGAPFFNUQGTR5YKDVGGT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_266&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGAPFFNUQGTR5Y.SEARCH&ssid=g099blgalzhp8cu81653220936530,4079.0,Entry,4.0,8,,1.7,15.6,Intel Core i3 10th Gen,Intel Integrated UHD Graphics,,1,0,1,0.6000000000000001,Low,Études,B,Medium,33990.0
266,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) 5502 Thin and Light Laptop  (15.6 inch, Silver)",https://www.flipkart.com/dell-inspiron-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-2-graphics-5502-thin-light-laptop/p/itmf90129f0f7aea?pid=COMGB9ZPHT4RCG4D&lid=LSTCOMGB9ZPHT4RCG4D57YYNI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_267&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGB9ZPHT4RCG4D.SEARCH&ssid=g099blgalzhp8cu81653220936530,10319.0,Premium,,8,512.0,,15.6,Intel Core i5 11th Gen,NVIDIA GeForce MX330,2.0,2,1,1,1.4000000000000001,Low,Développement,B,Medium,85990.0
267,"acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX RTX 3060/300 Hz) PH315-54 Gaming Laptop  (15.6 inch, Abyssal Black, 2.3 Kg)",https://www.flipkart.com/acer-predator-helios-300-core-i9-11th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-300-hz-ph315-54-gaming-laptop/p/itm21fc3a31d7275?pid=COMG8TRX6NDYPSXX&lid=LSTCOMG8TRX6NDYPSXXPLDBOF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_268&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG8TRX6NDYPSXX.SEARCH&ssid=g099blgalzhp8cu81653220936530,16799.0,Premium,3.0,16,1024.0,2.3,15.6,Intel Core i9 11th Gen,NVIDIA GeForce RTX RTX 3060,6.0,3,3,2,2.8000000000000003,Extreme,Gaming,C,High,139990.0
268,"acer Predator Helios 300 Core i9 11th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/300 Hz) PH315-54 Gaming Laptop  (15.6 inch, Abyssal Black, 2.3 Kg)",https://www.flipkart.com/acer-predator-helios-300-core-i9-11th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-300-hz-ph315-54-gaming-laptop/p/itma65cbd7b3dfe8?pid=COMG8TRXSKHGNA5S&lid=LSTCOMG8TRXSKHGNA5SKCBHLR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_269&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG8TRXSKHGNA5S.SEARCH&ssid=g099blgalzhp8cu81653220936530,20399.0,Premium,,32,1024.0,2.3,15.6,Intel Core i9 11th Gen,NVIDIA GeForce RTX 3070,8.0,3,3,3,3.0000000000000004,Extreme,Gaming,C,High,169990.0
269,"DELL Inspiron 3510 Pentium Quad Core 11th Gen - (4 GB/256 GB SSD/Windows 11 Home) 3510 Laptop  (15.6 inch, Black, 1.83 kg, With MS Office)",https://www.flipkart.com/dell-inspiron-3510-pentium-quad-core-11th-gen-4-gb-256-gb-ssd-windows-11-home-laptop/p/itmec6049da650d5?pid=COMGB8FZPHHPDASS&lid=LSTCOMGB8FZPHHPDASSXDVP73&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_270&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGB8FZPHHPDASS.SEARCH&ssid=g099blgalzhp8cu81653220936530,4319.0,Entry,,4,256.0,1.83,15.6,Intel Pentium Quad Core 11th Gen,Intel Integrated INTEL,,1,0,1,0.6000000000000001,Low,Études,B,Medium,35990.0
270,"Lenovo IdeaPad Core i3 10th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IIL05 Laptop  (14 inch, Abyss Blue, With MS Office)",https://www.flipkart.com/lenovo-ideapad-core-i3-10th-gen-4-gb-256-gb-ssd-windows-11-home-14iil05-laptop/p/itm0552e9d77ec84?pid=COMGB79MXDZ8PNRB&lid=LSTCOMGB79MXDZ8PNRBVJZX2X&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_271&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGB79MXDZ8PNRB.SEARCH&ssid=g099blgalzhp8cu81653220936530,4139.0,Entry,4.8,4,256.0,,14.0,Intel Core i3 10th Gen,Intel Integrated,,1,0,1,0.6000000000000001,Low,Études,B,Medium,34490.0
271,"DELL Inspiron 3511 Core i3 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) 3511 Laptop  (15.6 inch, Black, 1.83 kg, With MS Office)",https://www.flipkart.com/dell-inspiron-3511-core-i3-11th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-11-home-laptop/p/itmedcdb9eafd65e?pid=COMGB2VGME5TW9V2&lid=LSTCOMGB2VGME5TW9V2WCDXFM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_272&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGB2VGME5TW9V2.SEARCH&ssid=g099blgalzhp8cu81653220936530,6120.0,Mid,3.8,16,1280.0,1.83,15.6,Intel Core i3 11th Gen,Intel Integrated INTEL,,1,0,2,0.8,Low,Études,B,Medium,50999.0
272,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-BQ312WS Laptop  (15.6 inch, Silver, With MS Office)",https://www.flipkart.com/asus-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-x515ea-bq312ws-laptop/p/itm727f243ff93c1?pid=COMGAZQHBWHZ7FCN&lid=LSTCOMGAZQHBWHZ7FCNMSKVJJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_273&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGAZQHBWHZ7FCN.SEARCH&ssid=g099blgalzhp8cu81653220936530,4548.0,Entry,,8,256.0,,15.6,Intel Core i3 11th Gen,NA intel hd,,1,0,1,0.6000000000000001,Low,Études,B,Medium,37899.0
273,"ASUS ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA706IC-HX003T Gaming Laptop  (17.3 inch, Graphite Black, 2.60 kg)",https://www.flipkart.com/asus-tuf-gaming-a17-ryzen-7-octa-core-4800h-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-fa706ic-hx003t-laptop/p/itmccc79bbd17e07?pid=COMG8N5PFPCX9Z3J&lid=LSTCOMG8N5PFPCX9Z3JGKCEFC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_274&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG8N5PFPCX9Z3J.SEARCH&ssid=g099blgalzhp8cu81653220936530,9599.0,High,4.5,16,512.0,2.6,17.3,AMD Ryzen 7 Octa Core,NVIDIA GeForce RTX 3050,4.0,3,2,2,2.4,High,Gaming,C,High,79990.0
274,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq4021tu-thin-light-laptop/p/itm5b9f6ea155373?pid=COMGAX8FPCZDVFES&lid=LSTCOMGAX8FPCZDVFESRS1INQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_275&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGAX8FPCZDVFES.SEARCH&ssid=g099blgalzhp8cu81653220936530,6828.0,Mid,4.2,8,512.0,1.69,15.6,Intel Core i5 11th Gen,Intel Integrated Iris Xe Graphics,,2,0,1,1.0,Low,Études,B,Medium,56900.0
275,"HP Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 14s- dq3032tu Thin and Light Laptop  (14 Inch, Jet Black, 1.46 kg, With MS Office)",https://www.flipkart.com/hp-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-14s-dq3032tu-thin-light-laptop/p/itm521c61745e39a?pid=COMGAX8ECYVNE5NH&lid=LSTCOMGAX8ECYVNE5NHKVUC3K&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_276&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGAX8ECYVNE5NH.SEARCH&ssid=g099blgalzhp8cu81653220936530,3767.0,Entry,3.9,8,256.0,1.46,14.0,Intel Celeron Dual Core,Intel Integrated UHD Graphics,,1,0,1,0.6000000000000001,Low,Études,A,Low,31390.0
276,"HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg kg, With MS Office)",https://www.flipkart.com/hp-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-14s-fq1089au-thin-light-laptop/p/itm30e084d034979?pid=COMGAY9Y7WXZYFDA&lid=LSTCOMGAY9Y7WXZYFDAYEJGOH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_277&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGAY9Y7WXZYFDA.SEARCH&ssid=g099blgalzhp8cu81653220936530,4799.0,Entry,4.5,8,512.0,1.46,14.0,AMD Ryzen 3 Quad Core,AMD Radeon Radeon Graphics,,1,0,1,0.6000000000000001,Low,Études,A,Low,39990.0
277,"DELL Vostro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Vostro 3400 Thin and Light Laptop  (14 inch, Dune, 1.59 Kg, With MS Office)",https://www.flipkart.com/dell-vostro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-2-graphics-3400-thin-light-laptop/p/itmd529426e79232?pid=COMG9NYDEKQ7NGZV&lid=LSTCOMG9NYDEKQ7NGZVCPYLYF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_278&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG9NYDEKQ7NGZV.SEARCH&ssid=g099blgalzhp8cu81653220936530,6659.0,Mid,,8,512.0,1.59,14.0,Intel Core i5 11th Gen,NVIDIA GeForce MX330,2.0,2,1,1,1.4000000000000001,Low,Développement,B,Medium,55490.0
278,"DELL Inspiron Ryzen 5 Quad Core 3450U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3515 Thin and Light Laptop  (15.6 inch, Carbon Black, 1.8 kg, With MS Office)",https://www.flipkart.com/dell-inspiron-ryzen-5-quad-core-3450u-8-gb-256-gb-ssd-windows-11-home-3515-thin-light-laptop/p/itme391a59616b96?pid=COMG9NYDJSBHFQZP&lid=LSTCOMG9NYDJSBHFQZPFDDCPZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_279&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG9NYDJSBHFQZP.SEARCH&ssid=g099blgalzhp8cu81653220936530,5339.0,Mid,4.3,8,256.0,1.8,15.6,AMD Ryzen 5 Quad Core,AMD Radeon AMD,,2,0,1,1.0,Low,Études,B,Medium,44490.0
279,"DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5418 Thin and Light Laptop  (14 inch, Platinum Silver, 1.46 Kg, With MS Office)",https://www.flipkart.com/dell-inspiron-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-5418-thin-light-laptop/p/itm239809dcd77fe?pid=COMG9NYDYHCDP8AC&lid=LSTCOMG9NYDYHCDP8ACODKXSC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_280&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG9NYDYHCDP8AC.SEARCH&ssid=g099blgalzhp8cu81653220936530,8519.0,High,4.5,16,512.0,1.46,14.0,Intel Core i5 11th Gen,Intel Integrated Iris Xe,,2,0,2,1.2000000000000002,Low,Développement,A,Low,70990.0
280,"MSI Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) Pulse GL66 12UEK-046IN Gaming Laptop  (15.6 inch, Gray, 2.25 kg)",https://www.flipkart.com/msi-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-pulse-gl66-12uek-046in-gaming-laptop/p/itm2d935500977da?pid=COMGAE6BYT2KRN4P&lid=LSTCOMGAE6BYT2KRN4PDKM7YC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_281&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMGAE6BYT2KRN4P.SEARCH&ssid=g099blgalzhp8cu81653220936530,16919.0,Premium,4.1,16,1024.0,2.25,15.6,Intel Core i7 12th Gen,NVIDIA GeForce RTX 3060,6.0,2,3,2,2.4,High,Graphisme,C,High,140990.0
281,"ASUS Zenbook Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX363EA-HP502WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.30 kg, With MS Office)",https://www.flipkart.com/asus-zenbook-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-ux363ea-hp502ws-thin-light-laptop/p/itm562b2817ed484?pid=COMG96ZHMRDB9N8Z&lid=LSTCOMG96ZHMRDB9N8ZUWQWG5&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_282&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG96ZHMRDB9N8Z.SEARCH&ssid=g099blgalzhp8cu81653220936530,9599.0,High,,8,512.0,1.3,13.3,Intel Core i5 11th Gen,Intel Integrated Iris Xe Graphics,,2,0,1,1.0,Low,Études,A,Low,79990.0
282,"DELL Vostro Core i3 11th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3400 Thin and Light Laptop  (14 inch, Dune, 1.59 Kg, With MS Office)",https://www.flipkart.com/dell-vostro-core-i3-11th-gen-4-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3400-thin-light-laptop/p/itma0f855d8f2154?pid=COMG9NYDEKM8QNPX&lid=LSTCOMG9NYDEKM8QNPXTDABGX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_12_283&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=3de17480-ccdc-4bcc-bc91-371b73961eef.COMG9NYDEKM8QNPX.SEARCH&ssid=g099blgalzhp8cu81653220936530,5291.0,Mid,,4,1280.0,1.59,14.0,Intel Core i3 11th Gen,Intel Integrated UHD,,1,0,1,0.6000000000000001,Low,Études,B,Medium,44090.0
